attribute,auc,accuracy,macro_f1,micro_f1,precision,recall
attractive,0.9576597494444034,0.8875435395587992,0.8875011724183788,0.8875435395587992,0.8913487738419619,0.8793682795698925
blurry_image,0.98138670631799,0.9744567921711726,0.8859675367103408,0.9744567921711726,0.75,0.8245614035087719
sharp_jawline,0.9268887540917312,0.8683032011942279,0.8356604402669626,0.8683032011942279,0.7688593844296923,0.7560830860534125
high_cheekbones,0.9858876337986484,0.9343174655830154,0.9284610748931119,0.9343174655830154,0.9004608294930876,0.915651358950328
smiling,0.968642668668165,0.902803118261735,0.902353740413625,0.902803118261735,0.9280973451327433,0.8655433287482807
bald,0.9854159771509824,0.9786034168187095,0.8822090879144595,0.9786034168187095,0.7663230240549829,0.7852112676056338
receeding_hairline,0.9726297405917468,0.9608558633272516,0.8370879349874099,0.9608558633272516,0.6545012165450121,0.7410468319559229
long_hair,0.9874926267824754,0.9391275501741583,0.9334286082634353,0.9391275501741583,0.8759550561797753,0.9553921568627451
curly_hair,0.9692306237559631,0.9922043456626306,0.8359583995461348,0.9922043456626306,0.6621621621621622,0.6901408450704225
grey_hair,0.9947265280958253,0.9845745563111628,0.9278300966968609,0.9845745563111628,0.8912386706948641,0.8380681818181818
black_hair,0.9789706006947385,0.9484159893846409,0.8934644724093109,0.9484159893846409,0.9560418648905804,0.9843260188087775
has_beard,0.9931803678647543,0.9636755680875767,0.9546804456405169,0.9636755680875767,0.9242603550295858,0.9449485783424078
patchy_beard,0.9580476016293367,0.9655000829324929,0.7629658528323913,0.9655000829324929,0.4714828897338403,0.6424870466321243
has_mustache,0.9939152747388917,0.9646707580029855,0.9601432559346939,0.9646707580029855,0.9464732366183092,0.9469469469469469
well_groomed,0.9425119126393136,0.8656493614198043,0.8441558068555629,0.8656493614198043,0.9327163581790896,0.8733021077283373
has_makeup,0.9914176385030181,0.9601924033836458,0.9530394292760096,0.9601924033836458,0.9236559139784947,0.9460352422907489
wearing_glasses,0.9951343335312516,0.9917067507049262,0.978268799344856,0.9917067507049262,0.9778830963665087,0.9450381679389313
wearing_hat,0.9937799672402702,0.9850721512688672,0.9524809629600048,0.9850721512688672,0.9366336633663367,0.8907721280602636
clear_skin,0.9659248745335615,0.9115939625145132,0.8782833307292777,0.9115939625145132,0.9457686420293024,0.938177874186551
dark_circles,0.9658880886805687,0.8862166196715874,0.8784390634912349,0.8862166196715874,0.9294060370009737,0.7791836734693878
oily_skin,0.9178498353007898,0.8392768286614696,0.8100184433716298,0.8392768286614696,0.8579617834394905,0.6435738174868609
thick_eyebrow,0.9756734995722596,0.9185602919223752,0.9113447168906814,0.9185602919223752,0.95324402416601,0.9205986808726535
big_eyes,0.9582686544072881,0.9077790678387793,0.8660522881834357,0.9077790678387793,0.8520614389652384,0.7386124737210932
big_lips,0.9467423198637289,0.9767789019737934,0.7622575142691684,0.9767789019737934,0.6230769230769231,0.47093023255813954
sharp_nose,0.9795713767255415,0.9606899983413502,0.8551943876503987,0.9606899983413502,0.76,0.7052401746724891
adult,0.9520640800915917,0.9313318958367889,0.8133965690170868,0.9313318958367889,0.9552129221732746,0.9683662076665426
old,0.9840206185567011,0.9674904627633106,0.8903369763814368,0.9674904627633106,0.8220338983050848,0.776
mouth_open,0.9722600050715543,0.9227069165699121,0.9182949243355734,0.9227069165699121,0.9203892083149049,0.8791719476130122
male,0.9969145319592231,0.9727981423121579,0.9721159792250289,0.9727981423121579,0.9798503166378814,0.9731275014293882
double_chin,0.9744588501618305,0.9882235860009951,0.7818635357187447,0.9882235860009951,0.6266666666666667,0.5222222222222223
veil,0.990167640660325,0.993033670592138,0.9000961092331146,0.993033670592138,0.9052631578947369,0.7226890756302521
wrinkle,0.981774909458328,0.9344833305689169,0.908697831652336,0.9344833305689169,0.818733153638814,0.9060402684563759
chubby,0.9756802887708236,0.9152429922043457,0.9078470333601074,0.9152429922043457,0.9110473457675753,0.8542600896860987
